Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.28     70.84     0.25 103670012     0.00     0.00  __gnu_cxx::__normal_iterator<xsd::cxx::tree::sequence_common::ptr*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > >::__normal_iterator(xsd::cxx::tree::sequence_common::ptr* const&)
  0.28     71.08     0.25 36640748     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::~_Vector_base()
  0.28     71.32     0.24 20849182     0.00     0.00  std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> >::~vector()
  0.28     71.56     0.24 52432314     0.00     0.00  void std::_Destroy<std::string*, std::string>(std::string*, std::string*, std::allocator<std::string>&)
  0.26     71.79     0.23 120656193     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator()
  0.25     72.00     0.22 20849182     0.00     0.00  std::_Vector_base<BLG::blnode_T*, std::allocator<BLG::blnode_T*> >::_M_create_storage(unsigned long)
  0.24     72.21     0.21 47374698     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end()
  0.23     72.41     0.20 52432313     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_allocate(unsigned long)
  0.23     72.60     0.20 52432311     0.00     0.00  __gnu_cxx::new_allocator<std::string>::deallocate(std::string*, unsigned long)
  0.22     72.79     0.19 157915660     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.22     72.98     0.19 36640747     0.00     0.00  std::string* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*>(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*)
  0.22     73.17     0.19 78957830     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string* const&)
  0.22     73.36     0.19 21055845     0.00     0.00  std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::~vector()
  0.22     73.55     0.19 20849182     0.00     0.00  std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> >::vector(std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> > const&)
  0.21     73.74     0.19 31583132     0.00     0.00  std::string* std::__uninitialized_copy_a<std::string*, std::string*, std::string>(std::string*, std::string*, std::string*, std::allocator<std::string>&)
  0.21     73.92     0.19 36640747     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end() const
  0.21     74.10     0.18 99807011     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.20     74.28     0.18 52432311     0.00     0.00  __gnu_cxx::new_allocator<std::string>::allocate(unsigned long, void const*)
  0.20     74.45     0.18 36640747     0.00     0.00  std::string* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*, std::string>(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, std::string*, std::allocator<std::string>&)
  0.20     74.63     0.18 15791566     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_check_len(unsigned long, char const*) const
  0.20     74.80     0.17 52432314     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_deallocate(std::string*, unsigned long)
  0.19     74.96     0.17 68223879     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator() const
  0.19     75.13     0.17 21032380     0.00     0.00  std::_Vector_base<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::_Vector_impl::_Vector_impl()
  0.18     75.29     0.16 20849183     0.00     0.00  std::_Vector_base<BLG::blnode_T*, std::allocator<BLG::blnode_T*> >::~_Vector_base()
  0.18     75.44     0.16 51833835     0.00     0.00  std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::begin()
  0.17     75.59     0.15 20849182     0.00     0.00  xsd::cxx::tree::sequence_common::sequence_common(xsd::cxx::tree::_type*)
  0.17     75.74     0.15                             std::string* std::copy_backward<std::string*, std::string*>(std::string*, std::string*, std::string*)
  0.17     75.89     0.15 47374698     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::difference_type __gnu_cxx::operator-<std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.17     76.04     0.15 21032380     0.00     0.00  std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::vector()
  0.17     76.18     0.15 15791566     0.00     0.00  judge_blk(std::vector<std::string, std::allocator<std::string> >, std::string)
  0.16     76.32     0.14 20849205     0.00     0.00  BLG::bledge_T** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<BLG::bledge_T*>(BLG::bledge_T* const*, BLG::bledge_T* const*, BLG::bledge_T**)
  0.16     76.46     0.14 20849182     0.00     0.00  std::_Vector_base<BLG::bledge_T*, std::allocator<BLG::bledge_T*> >::~_Vector_base()
  0.16     76.60     0.14 20849182     0.00     0.00  std::_Vector_base<BLG::blnode_T*, std::allocator<BLG::blnode_T*> >::_Vector_impl::_Vector_impl(std::allocator<BLG::blnode_T*> const&)
  0.16     76.74     0.14 31583132     0.00     0.00  std::string* std::uninitialized_copy<std::string*, std::string*>(std::string*, std::string*, std::string*)
  0.16     76.87     0.14 20849206     0.00     0.00  BLG::blnode_T** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<BLG::blnode_T*>(BLG::blnode_T* const*, BLG::blnode_T* const*, BLG::blnode_T**)
  0.16     77.01     0.14 20849182     0.00     0.00  BLG::blnode_T** std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<BLG::blnode_T* const*, std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> > >, BLG::blnode_T**>(__gnu_cxx::__normal_iterator<BLG::blnode_T* const*, std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> > >, __gnu_cxx::__normal_iterator<BLG::blnode_T* const*, std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> > >, BLG::blnode_T**)
  0.15     77.14     0.13 36640747     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::_Vector_impl(std::allocator<std::string> const&)
  0.15     77.27     0.13 21055845     0.00     0.00  std::_Vector_base<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::~_Vector_base()
  0.15     77.40     0.13 20849183     0.00     0.00  std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> >::~vector()
  0.15     77.53     0.13 20849181     0.00     0.00  BLG::bledge_T** std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >, BLG::bledge_T**, BLG::bledge_T*>(__gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >, __gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >, BLG::bledge_T**, std::allocator<BLG::bledge_T*>&)
  0.15     77.66     0.13 20849180     0.00     0.00  bool __gnu_cxx::operator==<xsd::cxx::tree::sequence_common::ptr*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > >(__gnu_cxx::__normal_iterator<xsd::cxx::tree::sequence_common::ptr*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > > const&, __gnu_cxx::__normal_iterator<xsd::cxx::tree::sequence_common::ptr*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > > const&)
  0.14     77.78     0.13 36640747     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_base(unsigned long, std::allocator<std::string> const&)
  0.14     77.91     0.13 25906800     0.00     0.00  std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::_M_fill_assign(unsigned long, xsd::cxx::tree::sequence_common::ptr const&)
  0.14     78.03     0.13 20849181     0.00     0.00  std::_Vector_base<BLG::bledge_T*, std::allocator<BLG::bledge_T*> >::_Vector_base(unsigned long, std::allocator<BLG::bledge_T*> const&)
  0.14     78.15     0.12 20849402     0.00     0.00  xsd::cxx::tree::sequence_common::~sequence_common()
  0.13     78.26     0.11 73281494     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string const* const&)
  0.13     78.37     0.11 47018177     0.00     0.00  void std::_Destroy<xsd::cxx::tree::sequence_common::ptr*>(xsd::cxx::tree::sequence_common::ptr*, xsd::cxx::tree::sequence_common::ptr*)
  0.13     78.48     0.11 41698401     0.00     0.00  std::_Vector_base<BLG::blnode_T*, std::allocator<BLG::blnode_T*> >::_M_get_Tp_allocator()
  0.13     78.59     0.11 20849182     0.00     0.00  xsd::cxx::tree::sequence<SimulinkModel::XSD::performance_T, false>::sequence(xsd::cxx::tree::_type*)
  0.13     78.70     0.11 20849181     0.00     0.00  std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> >::end() const
  0.12     78.81     0.11 51813689     0.00     0.00  xsd::cxx::tree::iterator_adapter<__gnu_cxx::__normal_iterator<xsd::cxx::tree::sequence_common::ptr*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > >, SimulinkModel::XSD::performance_T>::iterator_adapter(__gnu_cxx::__normal_iterator<xsd::cxx::tree::sequence_common::ptr*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > > const&)
  0.12     78.91     0.11 25906868     0.00     0.00  xsd::cxx::tree::sequence<SimulinkModel::XSD::performance_T, false>::end()
  0.12     79.02     0.11 25906821     0.00     0.00  xsd::cxx::tree::sequence<SimulinkModel::XSD::performance_T, false>::begin()
  0.12     79.12     0.11 20849230     0.00     0.00  std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> >::size() const
  0.12     79.23     0.11 20849229     0.00     0.00  std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> >::size() const
  0.12     79.33     0.11 20849181     0.00     0.00  std::_Vector_base<BLG::bledge_T*, std::allocator<BLG::bledge_T*> >::_Vector_impl::_Vector_impl(std::allocator<BLG::bledge_T*> const&)
  0.12     79.43     0.10 52186060     0.00     0.00  __gnu_cxx::__normal_iterator<xsd::cxx::tree::sequence_common::ptr const*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > >::__normal_iterator(xsd::cxx::tree::sequence_common::ptr const* const&)
  0.12     79.53     0.10 47018177     0.00     0.00  void std::_Destroy_aux<false>::__destroy<xsd::cxx::tree::sequence_common::ptr*>(xsd::cxx::tree::sequence_common::ptr*, xsd::cxx::tree::sequence_common::ptr*)
  0.12     79.63     0.10 20849195     0.00     0.00  void std::_Destroy<BLG::blnode_T**>(BLG::blnode_T**, BLG::blnode_T**)
  0.12     79.73     0.10 20849193     0.00     0.00  std::_Vector_base<BLG::bledge_T*, std::allocator<BLG::bledge_T*> >::_M_allocate(unsigned long)
  0.12     79.83     0.10 20849182     0.00     0.00  BLG::BLGraph::~BLGraph()
